"Result","axis","value"
"Draw","SuccShots",0.2
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.776876267748479
"Draw","SuccAir",0.5
"Draw","SuccTacles",0.791666666666667
"Win","SuccShots",1
"Win","SuccDribbles",0.4
"Win","SuccPasses",0.779141104294479
"Win","SuccAir",0.461538461538462
"Win","SuccTacles",0.75
"Win","SuccShots",1
"Win","SuccDribbles",0.714285714285714
"Win","SuccPasses",0.801158301158301
"Win","SuccAir",0.555555555555556
"Win","SuccTacles",0.631578947368421
"Win","SuccShots",0.714285714285714
"Win","SuccDribbles",0.555555555555556
"Win","SuccPasses",0.833935018050541
"Win","SuccAir",0.477272727272727
"Win","SuccTacles",0.733333333333333
"Draw","SuccShots",0
"Draw","SuccDribbles",0.4375
"Draw","SuccPasses",0.867924528301887
"Draw","SuccAir",0.490909090909091
"Draw","SuccTacles",0.733333333333333
"Draw","SuccShots",0
"Draw","SuccDribbles",0.666666666666667
"Draw","SuccPasses",0.758241758241758
"Draw","SuccAir",0.488888888888889
"Draw","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",0.333333333333333
"Loss","SuccPasses",0.768031189083821
"Loss","SuccAir",0.653061224489796
"Loss","SuccTacles",0.958333333333333
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.823970037453184
"Win","SuccAir",0.538461538461538
"Win","SuccTacles",1
"Win","SuccShots",1
"Win","SuccDribbles",0.833333333333333
"Win","SuccPasses",0.777777777777778
"Win","SuccAir",0.428571428571429
"Win","SuccTacles",1
"Loss","SuccShots",1
"Loss","SuccDribbles",0.375
"Loss","SuccPasses",0.740831295843521
"Loss","SuccAir",0.535714285714286
"Loss","SuccTacles",0.666666666666667
"Win","SuccShots",1
"Win","SuccDribbles",0.428571428571429
"Win","SuccPasses",0.708249496981891
"Win","SuccAir",0.384615384615385
"Win","SuccTacles",0.823529411764706
"Draw","SuccShots",0
"Draw","SuccDribbles",0.363636363636364
"Draw","SuccPasses",0.731808731808732
"Draw","SuccAir",0.54
"Draw","SuccTacles",0.875
"Loss","SuccShots",0
"Loss","SuccDribbles",0.5625
"Loss","SuccPasses",0.719346049046321
"Loss","SuccAir",0.39622641509434
"Loss","SuccTacles",0.838709677419355
"Win","SuccShots",0.5
"Win","SuccDribbles",0.375
"Win","SuccPasses",0.821428571428571
"Win","SuccAir",0.387096774193548
"Win","SuccTacles",0.804347826086957
"Loss","SuccShots",0
"Loss","SuccDribbles",0.428571428571429
"Loss","SuccPasses",0.816593886462882
"Loss","SuccAir",0.456521739130435
"Loss","SuccTacles",0.91304347826087
"Win","SuccShots",0.25
"Win","SuccDribbles",0.166666666666667
"Win","SuccPasses",0.833017077798861
"Win","SuccAir",0.491803278688525
"Win","SuccTacles",0.9375
"Loss","SuccShots",0
"Loss","SuccDribbles",0.583333333333333
"Loss","SuccPasses",0.704225352112676
"Loss","SuccAir",0.636363636363636
"Loss","SuccTacles",1
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0
"Draw","SuccPasses",0.706601466992665
"Draw","SuccAir",0.536585365853659
"Draw","SuccTacles",0.571428571428571
"Loss","SuccShots",0.25
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.801125703564728
"Loss","SuccAir",0.425
"Loss","SuccTacles",0.666666666666667
"Loss","SuccShots",0.333333333333333
"Loss","SuccDribbles",0.357142857142857
"Loss","SuccPasses",0.788537549407115
"Loss","SuccAir",0.448979591836735
"Loss","SuccTacles",0.694444444444444
"Loss","SuccShots",0
"Loss","SuccDribbles",0.357142857142857
"Loss","SuccPasses",0.768018018018018
"Loss","SuccAir",0.59375
"Loss","SuccTacles",0.470588235294118
"Win","SuccShots",1
"Win","SuccDribbles",1
"Win","SuccPasses",0.783715012722646
"Win","SuccAir",0.6
"Win","SuccTacles",0.851851851851852
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.8
"Draw","SuccPasses",0.800925925925926
"Draw","SuccAir",0.481481481481481
"Draw","SuccTacles",1
"Draw","SuccShots",0
"Draw","SuccDribbles",0.571428571428571
"Draw","SuccPasses",0.742014742014742
"Draw","SuccAir",0.346153846153846
"Draw","SuccTacles",0.827586206896552
"Win","SuccShots",0.8
"Win","SuccDribbles",0.444444444444444
"Win","SuccPasses",0.771794871794872
"Win","SuccAir",0.511627906976744
"Win","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",0.2
"Loss","SuccPasses",0.711159737417943
"Loss","SuccAir",0.470588235294118
"Loss","SuccTacles",1
"Draw","SuccShots",0.666666666666667
"Draw","SuccDribbles",0.25
"Draw","SuccPasses",0.802656546489564
"Draw","SuccAir",0.428571428571429
"Draw","SuccTacles",1
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0.769230769230769
"Draw","SuccPasses",0.731829573934837
"Draw","SuccAir",0.45
"Draw","SuccTacles",0.814814814814815
"Loss","SuccShots",0
"Loss","SuccDribbles",0.222222222222222
"Loss","SuccPasses",0.778781038374718
"Loss","SuccAir",0.371428571428571
"Loss","SuccTacles",0.7
"Loss","SuccShots",0.666666666666667
"Loss","SuccDribbles",0.125
"Loss","SuccPasses",0.779693486590038
"Loss","SuccAir",0.461538461538462
"Loss","SuccTacles",0.7
"Win","SuccShots",0.5
"Win","SuccDribbles",0.555555555555556
"Win","SuccPasses",0.798792756539235
"Win","SuccAir",0.647058823529412
"Win","SuccTacles",0.878787878787879
"Loss","SuccShots",1
"Loss","SuccDribbles",0.272727272727273
"Loss","SuccPasses",0.658682634730539
"Loss","SuccAir",0.511627906976744
"Loss","SuccTacles",1
"Draw","SuccShots",0.8
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.862369337979094
"Draw","SuccAir",0.6875
"Draw","SuccTacles",0.666666666666667
"Loss","SuccShots",1
"Loss","SuccDribbles",0.421052631578947
"Loss","SuccPasses",0.736842105263158
"Loss","SuccAir",0.473684210526316
"Loss","SuccTacles",0.862068965517241
"Loss","SuccShots",0
"Loss","SuccDribbles",0.333333333333333
"Loss","SuccPasses",0.720264317180617
"Loss","SuccAir",0.452380952380952
"Loss","SuccTacles",1
"Loss","SuccShots",1
"Loss","SuccDribbles",0.875
"Loss","SuccPasses",0.735729386892178
"Loss","SuccAir",0.421052631578947
"Loss","SuccTacles",0.911764705882353
"Win","SuccShots",1
"Win","SuccDribbles",0
"Win","SuccPasses",0.715789473684211
"Win","SuccAir",0.5
"Win","SuccTacles",0.517241379310345
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.6875
"Win","SuccAir",0.453333333333333
"Win","SuccTacles",0.8
"Draw","SuccShots",0
"Draw","SuccDribbles",0.571428571428571
"Draw","SuccPasses",0.738805970149254
"Draw","SuccAir",0.46
"Draw","SuccTacles",1
"Win","SuccShots",1
"Win","SuccDribbles",0.36
"Win","SuccPasses",0.727678571428571
"Win","SuccAir",0.531914893617021
"Win","SuccTacles",0.75
"Draw","SuccShots",0
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.778455284552846
"Draw","SuccAir",0.628571428571429
"Draw","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",0.6
"Loss","SuccPasses",0.756578947368421
"Loss","SuccAir",0.44
"Loss","SuccTacles",1
"Draw","SuccShots",1
"Draw","SuccDribbles",0
"Draw","SuccPasses",0.717391304347826
"Draw","SuccAir",0.5
"Draw","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",0.111111111111111
"Loss","SuccPasses",0.783783783783784
"Loss","SuccAir",0.457142857142857
"Loss","SuccTacles",0.772727272727273
"Win","SuccShots",0.75
"Win","SuccDribbles",0.391304347826087
"Win","SuccPasses",0.810526315789474
"Win","SuccAir",0.688888888888889
"Win","SuccTacles",0.892857142857143
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.333333333333333
"Win","SuccPasses",0.747685185185185
"Win","SuccAir",0.575
"Win","SuccTacles",0.689655172413793
"Win","SuccShots",1
"Win","SuccDribbles",0.428571428571429
"Win","SuccPasses",0.789115646258503
"Win","SuccAir",0.617021276595745
"Win","SuccTacles",0.818181818181818
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0
"Draw","SuccPasses",0.803131991051454
"Draw","SuccAir",0.5
"Draw","SuccTacles",1
"Draw","SuccShots",0
"Draw","SuccDribbles",0.785714285714286
"Draw","SuccPasses",0.75
"Draw","SuccAir",0.723404255319149
"Draw","SuccTacles",1
"Draw","SuccShots",0.4
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.851398601398601
"Draw","SuccAir",0.428571428571429
"Draw","SuccTacles",0.761904761904762
"Loss","SuccShots",0
"Loss","SuccDribbles",0.833333333333333
"Loss","SuccPasses",0.855379188712522
"Loss","SuccAir",0.481481481481481
"Loss","SuccTacles",0.84375
"Win","SuccShots",0.333333333333333
"Win","SuccDribbles",0.571428571428571
"Win","SuccPasses",0.81532416502947
"Win","SuccAir",0.534883720930233
"Win","SuccTacles",1
"Win","SuccShots",0.142857142857143
"Win","SuccDribbles",0.277777777777778
"Win","SuccPasses",0.828046744574291
"Win","SuccAir",0.571428571428571
"Win","SuccTacles",0.821428571428571
"Loss","SuccShots",0
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.76734693877551
