"SuccShots","SuccDribbles","SuccPasses","SuccAir","SuccTacles","Teams"
0.535714285714286,0.567796610169492,0.775156876086792,0.507755102040816,0.867069486404834,"AGF"
0.426666666666667,0.468354430379747,0.790508474576271,0.495397489539749,0.840944881889764,"Brondby IF"
0.46875,0.440740740740741,0.758384506376949,0.487242798353909,0.821173104434907,"Esbjerg fB"
0.366412213740458,0.469648562300319,0.809635076627036,0.567796610169492,0.833558863328823,"F.C Kobenhavn"
0.573333333333333,0.482758620689655,0.754530059271804,0.484992101105845,0.846283783783784,"FC Midtjylland"
0.475409836065574,0.438775510204082,0.827428805014307,0.487179487179487,0.858895705521472,"FC Nordsjaelland"
0.51219512195122,0.448484848484848,0.683761493980472,0.490732568402471,0.816944024205749,"Hobro IK"
0.5,0.406542056074766,0.8182299245932,0.551269035532995,0.807639836289222,"OB"
0.48,0.471502590673575,0.782169245782797,0.484822202948829,0.833333333333333,"Randers FC"
0.605263157894737,0.345238095238095,0.683619102973942,0.48448145344436,0.793103448275862,"SonderjyskE"
0.466666666666667,0.40084388185654,0.734114583333333,0.491394148020654,0.795514511873351,"Viborg"
0.481481481481481,0.538181818181818,0.818967693084301,0.457171314741036,0.869932432432432,"AaB"
